Name	Start Date	Location	External URL
Welcome to the CMT Site Request Submission System!	1/1/2035		
Tackling Climate Change with Machine Learning: Global Perspectives and Local Challenges	5/1/2023	Kigali, Rwanda	https://www.climatechange.ai/events/iclr2023
Tackling Climate Change with Machine Learning at NeurIPS 2022	11/28/2022	New Orleans, United States	https://www.climatechange.ai/events/neurips2022
Proc. of the VLDB Volume 19 (for VLDB 2026)	8/30/2026	Boston, USA	https://vldb.org/2026/
28th International Conference on Pattern Recognition	8/17/2026	Lyon, France	https://icpr2026.org/
International Conference on Advances and Applications of Artificial Intelligence & Machine Learning-2025	12/26/2024	Greater Noida, India	https://www.icaaaiml.com/index.html
ACM/IMS Journal of Data Science	5/30/2022	online, online	http://jds.acm.org
International Conference on Emerging Trends in Mobile Computing and Sustainable Informatics	6/17/2026	Bengaluru, India	https://newhorizonindia.edu/icemcsi26/
SIGMOD International Conference on Management of Data (2026)	5/31/2026	Bengaluru, India	https://2026.sigmod.org/
International Conference on Data Analytics and Intelligent Systems	4/14/2026	Khenchela, Algeria	https://www.icdais.org
8th Pan-Pacific Nursing Conference cum 2nd Cochrane Hong Kong Conference	3/24/2026	Hong Kong, China	https://8thpanpacificconf.nur.cuhk.edu.hk
World Conference on Computational Science and Technology	3/26/2026	Gharuan, Punjab, India	https://www.cuchd.in/conference/WcCST-26/
International Conference on Intelligent Systems and Artificial Intelligence Applications	3/26/2026	Nizwa, Oman	https://unizwa.edu.om/ISAA2026/
International Conference on Extending Database Technology 2026	3/23/2026	Tampere, Finland	https://edbticdt2026.github.io/
2026 30th International Conference on Information Technology	2/24/2026	Zabljak, Montenegro	https://www.it.ac.me/en/index.php?skup=30
International Conference on Innovative Practices in Technology and Management (2026)	2/19/2026	Noida, India	https://amity.edu/iciptm2026/
5th IEEE International Conference on AI in Cybersecurity	2/18/2026	Houston, United State	https://icaic.gyancity.com/index.html
International Conference on Intelligent Computing and Automation for Sustainable Solutions	2/12/2026	Faridabad, India	https://www.icass-2026.in/
INTERNATIONAL CONFERENCE ON EMERGING APPLICATIONS OF INFORMATION TECHNOLOGY	1/30/2026	Kolkata, India	https://csikolkata.org/EAIT2026/
International Conference on Emerging trends and Innovations in ICT (ICEI)	1/9/2026	Pune, India	https://icei-pict.com
The Third International Conference on Holodecks	1/8/2026	Los Angeles, USA	https://www.holodecks.quest
2026 10th International Conference on Control Engineering and Artificial Intelligence	1/4/2026	Buenos Aires, Argentina	https://www.cceai.org/
STConf2024	4/1/2022	redmond, usa	http://contoso.com
Faux Site 2023	5/4/2023	redmond, usa	http://contoso.com
Contoso conference 2025	1/1/2024	redmond, usa	http://contoso.com
ASTA2025	1/1/2024	redmond, us	http://contoso.com
Journal of Engineering, Project, and Production Management (2025)	1/1/2025	Lawrence, USA	http://www.ppml.url.tw/EPPM_Journal/index.htm
Journal of Engineering, Project, and Production Management	1/1/2022	Lawrence, USA	http://www.ppml.url.tw/EPPM_Journal/
International Conference on Chemical Engineering & Sustainability 2023	1/7/2025	Kuala Lumpur, Malaysia	https://conference.iium.edu.my/icches/2025/
10th International Conference on Soft Computing: Theories and Applications	12/26/2025	Jalandhar, India	https://socta.in/
International Conference on Information Systems and Advanced Technologies 2025	12/26/2025	Cairo, Egypt	https://www.ijist.net/ICISAT2025/
International Conference on Intelligent Computing and Emerging Communication Technologies	12/20/2025	Guntur, India	https://icecconf.org
IEEE Power Electronics Smart Grid and Renewable Energy Conference 2025	12/18/2025	Dharwad, India	https://www.pesgre2025.org/
2025 7th International Conference on Electrical Engineering and Control Technologies	12/18/2025	Chongqing, China	https://ceect.org/
2025 2nd Asia Pacific Conference on Computing Technologies, Communications and Networking (CTCNet 2025)	12/19/2025	Nanjing, China	https://www.ctcnet2025.net/
International Conference on Advances in Computational Intelligence and Informatics	12/19/2025	Hyderbad, India	https://anuragweb.club/icacii2025/
VIII Workshop-School on Theoretical Informatics	9/10/2025	Ponta Grossa, Brazil	https://dainf.pg.utfpr.edu.br/weit2025/
IEEE International Conference on Smart and Intelligent Systems	12/19/2025	THIRUVANANTHAPURAM, INDIA	https://siscon2025.marian.ac.in/
10th International Conference on Research in Intelligent Computing in Engineering	12/19/2025	Hyderabad, India	https://riceconference.in/
Recent Advances in Medical Science and Technology 2025	12/17/2025	Kharagpur, India	https://radmed2025.in/page/abstract
International Conference on Intelligent Systems and Embedded Design 2025	12/17/2025	Raipur, India	http://2025.isedconf.org
The 26th International Conference on Principles and Practice of Multi-Agent Systems	12/15/2025	Modena, Italy	https://conferences-website.github.io/prima2025
STS India Network Conference	12/15/2025	Sonipat, NCR of Delhi, India	https://stsin.org/stsinc25/
11th IEEE International Symposium on Smart Electronic Systems	12/13/2025	Jaipur, India	https://www.ieee-ises.org/
National Power Electronics Conference 2025	12/14/2025	Calicut, India	https://www.npec2025.com/
2025 11th International Conference on Mechanical Engineering and Automation Science	12/11/2025	Bangkok, Thailand	https://www.icmeas.org/
2025 4th International Conference on Advanced Electronics, Electrical and Green Energy (AEEGE 2025)	12/12/2025	Chengdu, China	https://www.aeege.net/
2025 4th International Conference on Advanced Electric Power System and Energy Engineering (EPSEE 2025)	12/11/2025	Shanghai, China	https://www.epsee.net/
The 8th International Conference on Future Networks & Distributed Systems	12/10/2024	Marrakech, Morocco	https://www.icfnds.org/
INTERNATIONAL CONFERENCE ON SUSTAINABLE OUTCOMES AND NOVEL APPROACHES :Harnessing Technology for Revolutionizing Healthcare	12/12/2025	SALEM, INDIA	https://www.sonatech.ac.in/bio-medical/international-conference/ICSONA2025/
First International Conference on Advances in Engineering and Computing Technologies for Sustainable Development	12/11/2025	Coimbatore, India	https://ieee-aectsd.srec.ac.in
2025 IEEE 4th International Conference on Smart Technologies for Power, Energy, and Control (STPEC 2025)	12/10/2025	Goa, INDIA	https://nitgoa.ac.in/STPEC2025/index.html
International Conference on Emerging Trends in Engineering and Applied Science (ICETEAS-2025)	12/12/2025	KOMBOLCHA, ETHIOPIA	https://wu.edu.et/ieeeconf2025/index.html
10th International Conference on Computer Vision and Image Processing	12/10/2025	Rupnagar, Punjab, India	https://www.iitrpr.ac.in/cvip2025
2025 Asia Pacific Conference on Economics and Finance	12/11/2025	Singapore, Singapore	https://apef.ear.com.sg
ACM Multimedia Asia 2025	12/9/2025	Kuala Lumpur, Malaysia	https://mmasia2025.org
4th International Conference on Modelling, Simulation & Intelligent Computing	12/10/2025	Dubai, United Arab Emirates	https://mosicom2025.com
International Symposium on Ocean Technology (SYMPOL 2025)	12/10/2025	Cochin, India	https://sympol.cusat.ac.in/
2025 IEEE International Conference on Energy Technologies for Future Grids	12/7/2025	Wollongong, Australia	https://attend.ieee.org/etfg-2025/
International Conference on Data Science and Intelligent Network Computing	12/9/2025	Raipur, India	https://icdsinc2025.nitrr.ac.in/
5th International Conference on Mobile Networks and Wireless Communications (ICMNWC-2025)	12/10/2025	Tumakuru, India	https://icmnwc.com/index.php
Fourteenth International Conference on Complex Networks & Their Applications	12/9/2025	Binghamton, New York, USA	https://complexnetworks.org/
2025 Picture Coding Symposium	12/7/2025	Aachen, Germany	https://2025.picturecodingsymposium.org/
2025 Singapore Conference on Applied Psychology	12/9/2025	Singapore, Singapore	https://scap.ear.com.sg
The 2nd International Conference on Electrical and Computer Engineering Researches	12/6/2025	Antananarivo, Madagascar	https://www.icecer.com/2025
2025 6th International Symposium on Automation, Mechanical and Design Engineering	12/5/2025	Kunming, China	http://www.samde.org
Sixth International Conference on Computing Communication and Industry Standard 6.0	12/5/2025	Bangalore, India	https://sites.google.com/cmrit.ac.in/c2i6-2025/home
24th International Conference on Machine Learning and Applications	12/3/2025	Boca Raton, USA	https://icmla-conference.org/icmla25/
2nd International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI-2025)	12/4/2025	Raipur, India	https://www.icaiihi.com
THE 7TH INTERNATIONAL CONFERENCE ON INFORMATICS AND APPLIED MATHEMATICS IAM'24	12/4/2024	Guelma, Algeria	https://events.univ-guelma.dz/iam2024/index.html
10th CEAS Aerospace Europe Conference/28th AIDAA Congress/10th Aerospace & Defense Meeting	12/1/2025	Turin, Italy	https://www.aidaa.it/ceasaidaa2025/
International Conference on Optical Communication, Photonics, Telecommunications and Intelligent Machine Applications	12/4/2025	TASHKENT, Uzbekistan	https://optima2025.tuit.uz/paper-submission
International Conference on Visual Communications and Image Processing 2025	12/1/2025	Klagenfurt, Austria	https://vcip2025.itec.aau.at/
8th International Conference on Recent Advances in Composite Materials-2025	12/2/2025	Varanasi, India	https://conferences.iitbhu.ac.in/ICRACM/
Uruk Second International Conference on Advanced Communications and Digital Networks	12/2/2025	Baghdad, Iraq	http://acdn-2025.uruk.edu.iq/
Second International Research Conference on Chemical Engineering	12/3/2025	Colombo, Sri Lanka	https://www.chemeicon.com/
2025 International Conference on Artificial Intelligence, Data Science and Intelligent Systems (AIDSIS 2025)	11/28/2025	Chengdu, China	https://www.ai-dsis.net/
2025 International Conference on Data Science and Intelligent Systems (DSIS 2025)	11/28/2025	Chengdu, China	https://www.dsis2025.net/
Reliability Modelling, System Engineering and Management through Computational Intelligence	11/30/2025	Greater Noida, India	https://sites.google.com/view/rmsem/introduction
2025 3rd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry	11/28/2025	Wardha, India	https://dmiher.edu.in/IDICAIHEI2025/
International Conference on Image Information Processing	11/27/2025	Solan, India	https://juit.ac.in/iciip_2025/index.php
International Conference on Artificial Intelligence in Healthcare and Wellness	11/27/2025	Hyderabad, India	https://www.mahindrauniversity.edu.in/aihw/
International Conference on Intelligent and Innovative Practices in Engineering & Management 2025	11/25/2025	SINGAPORE, SINGAPORE	https://www.amity.edu/iipem2025/Default.asp
2025 6th International Conference on Communications, Information, Electronic and Energy Systems	11/26/2025	Ruse, Bulgaria	https://ciees.eu/
2025 IEEE Central America and Panama Convention (CONCAPAN XLIII)	11/26/2025	San Salvador, El Salvador	https://concapan2025.ieee.org.sv/
5 th International Conference on Internet of Things: Smart Innovation & Usage	11/27/2025	Dehradun, India	https://iot.srhu.edu.in/
2025 Twelfth International Conference on Intelligent Computing and Information Systems(ICICIS)	11/25/2025	Cairo, Egypt	https://icicis.cis.asu.edu.eg/
First International Conference on Computational Intelligence and Soft Computing	11/26/2025	Melaka, Malaysia	https://ciscom.org/
International Renewable Energy, Gas & Oil, and Climate Change Conference	11/24/2025	Tripoli, Libya	https://irego-conference.ly
International Conference on Green Energy Engineering Systems	11/25/2025	Algiers, Algeria	https://www.icgees.com
Biennial Conference of Comparative Education Society of Asia International Conference	11/24/2025	Islamabad, Pakistan	https://cesa2025.aiou.edu.pk/
BIOMEDICAL ENGINEERING INTERNATIONAL CONFERENCE	11/24/2025	Tlemcen, Algeria	https://gbm.univ-tlemcen.dz/conferences/BIOMEIC2025/BIOMEIC2025.html
4th IEEE International Conference on Signal, Control and Communication	11/24/2025	Sousse, Tunisia	https://scc.ieee.tn/
3rd International conference on Computational Intelligence and Network Systems (CINS 2025)	11/25/2025	Dubai, UAE	https://www.bits-dubai.ac.ae/CINS2025/home.html
25th European Meeting on Environmental Chemistry	11/23/2025	Chania, Greece	https://www.emec25.tuc.gr/en/home
2025 International Conference on Functional Materials and Chemical Engineering	11/22/2025	Kuala Lumpur, Malaysia	http://www.icfmce.org
Ninth International Conference on Artificial Intelligence in Renewable Energetic Systems	11/22/2025	Mostaganem, Algeria	https://icaires.com
2025 10th International Conference on Communication, Image and Signal Processing	11/20/2025	Chengdu, China	https://www.ccisp.org/
2025 5th International Joint Conference on Energy, Electrical and Power Engineering	11/21/2025	Wuhan, China	http://www.coeepe.org
2025 IEEE International Conference on Computing, Semiconductor, Mechatronics, Intelligent Systems and Communications	11/22/2025	Mangalore, India	https://cosmic.sahyadri.edu.in/
8th International Conference on Emerging Technologies in Computer Engineering: Advances in Computing, Healthcare and Smart Systems	11/21/2025	Jaipur, India	https://icetce.skit.ac.in
2nd International Conference on Information Technology and Intelligence	11/21/2025	Agartala, India	https://scrs.in/conference/iti2025
2nd International Conference on Sustainability and Technological Advancements in Engineering Domain	11/21/2025	Faridabad, India	https://sustained2025.in/
